response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.3587,0.0000,0.0000,0.0000,1.3587,0.0000,200,3.9436
1.2799,0.0000,0.0000,0.0000,1.2799,0.0000,200,4.0230
1.5187,0.0000,0.0000,0.0000,1.5187,0.0000,200,3.7935
1.2468,0.0000,0.0000,0.0000,1.2467,0.0000,200,4.0814
1.3944,0.0000,0.0000,0.0000,1.3944,0.0000,200,3.9429
1.2902,0.0000,0.0000,0.0000,1.2902,0.0000,200,4.0549
1.4136,0.0000,0.0000,0.0000,1.4135,0.0000,200,3.9351
1.2446,0.0000,0.0000,0.0000,1.2446,0.0000,200,4.1141
1.2339,0.0000,0.0000,0.0000,1.2338,0.0000,200,4.1391
1.3567,0.0000,0.0000,0.0000,1.3567,0.0000,200,4.0178
1.4172,0.0000,0.0000,0.0000,1.4171,0.0001,200,3.9723
1.4168,0.0000,0.0000,0.0000,1.4168,0.0000,200,4.0042
1.2853,0.0000,0.0000,0.0000,1.2853,0.0000,200,4.1457
1.3405,0.0000,0.0000,0.0000,1.3404,0.0000,200,4.1179
1.4153,0.0000,0.0000,0.0000,1.4153,0.0000,200,4.0519
1.3525,0.0000,0.0000,0.0000,1.3524,0.0000,200,4.1197
1.4619,0.0000,0.0000,0.0000,1.4619,0.0000,200,4.0240
1.3259,0.0000,0.0000,0.0000,1.3258,0.0000,200,4.1968
1.1935,0.0000,0.0000,0.0000,1.1934,0.0000,200,4.3350
1.5067,0.0000,0.0000,0.0000,1.5067,0.0000,200,4.0284
1.3469,0.0000,0.0000,0.0000,1.3468,0.0001,200,4.2553
1.3869,0.0000,0.0000,0.0000,1.3868,0.0000,200,4.2252
1.2906,0.0000,0.0000,0.0000,1.2905,0.0001,200,4.3596
1.1985,0.0000,0.0000,0.0000,1.1984,0.0000,200,4.4617
1.1926,0.0000,0.0000,0.0000,1.1925,0.0000,200,4.4885
1.2604,0.0000,0.0000,0.0000,1.2604,0.0000,200,4.4236
1.6119,0.0000,0.0000,0.0000,1.6118,0.0000,200,4.0928
1.5189,0.0000,0.0000,0.0000,1.5188,0.0001,200,4.5132
1.2725,0.0000,0.0000,0.0000,1.2724,0.0000,200,4.7626
1.2595,0.0000,0.0000,0.0000,1.2594,0.0000,200,4.7928
1.0340,0.0000,0.0000,0.0000,1.0339,0.0001,200,5.0631
1.4836,0.0000,0.0000,0.0000,1.4835,0.0001,200,4.6492
1.2669,0.0000,0.0000,0.0000,1.2668,0.0000,200,4.9121
1.1465,0.0000,0.0000,0.0000,1.1464,0.0000,200,5.0827
1.2215,0.0000,0.0000,0.0000,1.2214,0.0000,200,5.0245
1.0402,0.0000,0.0000,0.0000,1.0402,0.0000,200,5.3282
1.2226,0.0000,0.0000,0.0000,1.2225,0.0001,200,5.1840
1.4391,0.0000,0.0000,0.0000,1.4390,0.0000,200,4.9697
1.2610,0.0000,0.0000,0.0000,1.2609,0.0000,200,5.1478
1.3509,0.0000,0.0000,0.0000,1.3509,0.0001,200,5.0769
1.3032,0.0000,0.0000,0.0000,1.3031,0.0000,200,5.1319
1.3286,0.0000,0.0000,0.0000,1.3285,0.0001,200,5.1705
1.5084,0.0000,0.0000,0.0000,1.5083,0.0000,200,5.0588
1.2873,0.0000,0.0000,0.0000,1.2873,0.0000,200,5.2921
1.4583,0.0000,0.0000,0.0000,1.4583,0.0000,200,5.1293
1.4767,0.0000,0.0000,0.0000,1.4767,0.0000,200,5.1117
1.2825,0.0000,0.0000,0.0000,1.2825,0.0000,200,5.3123
1.2519,0.0000,0.0000,0.0000,1.2519,0.0000,200,5.3451
1.5308,0.0000,0.0000,0.0000,1.5308,0.0000,200,5.0672
1.3316,0.0000,0.0000,0.0000,1.3315,0.0000,200,5.3023
1.2865,0.0000,0.0000,0.0000,1.2865,0.0000,200,5.3487
1.3393,0.0000,0.0000,0.0000,1.3392,0.0000,200,5.3030
1.4386,0.0000,0.0000,0.0000,1.4386,0.0000,200,5.2110
1.4368,0.0000,0.0000,0.0000,1.4367,0.0000,200,5.2611
1.3570,0.0000,0.0000,0.0000,1.3569,0.0000,200,5.3588
1.2952,0.0000,0.0000,0.0000,1.2952,0.0000,200,5.4211
1.4704,0.0000,0.0000,0.0000,1.4703,0.0000,200,5.2488
1.3422,0.0000,0.0000,0.0000,1.3421,0.0000,200,5.3895
1.2008,0.0000,0.0000,0.0013,1.1993,0.0000,200,5.5352
1.3653,0.0000,0.0000,0.0000,1.3653,0.0000,200,5.3745
1.1372,0.0000,0.0000,0.0000,1.1371,0.0001,200,5.6121
1.3209,0.0000,0.0000,0.0000,1.3208,0.0000,200,5.4309
1.5114,0.0000,0.0000,0.0000,1.5113,0.0000,200,5.2716
1.3170,0.0000,0.0000,0.0000,1.3170,0.0000,200,5.4672
1.3351,0.0000,0.0000,0.0000,1.3351,0.0000,200,5.4721
1.2979,0.0000,0.0000,0.0000,1.2978,0.0000,200,5.5227
1.1334,0.0000,0.0000,0.0000,1.1334,0.0000,200,5.7047
1.3681,0.0000,0.0000,0.0000,1.3681,0.0000,200,5.4859
1.1761,0.0000,0.0000,0.0000,1.1761,0.0000,200,5.6811
1.3716,0.0000,0.0000,0.0000,1.3715,0.0000,200,5.5285
1.5848,0.0000,0.0000,0.0000,1.5848,0.0000,200,5.3374
1.2834,0.0000,0.0000,0.0000,1.2833,0.0000,200,5.6840
1.3457,0.0000,0.0000,0.0000,1.3456,0.0000,200,5.6502
1.6550,0.0000,0.0000,0.0000,1.6549,0.0000,200,5.3730
1.3803,0.0000,0.0000,0.0000,1.3803,0.0000,200,5.6602
1.5934,0.0000,0.0000,0.0000,1.5933,0.0000,200,5.4584
1.4612,0.0000,0.0000,0.0000,1.4611,0.0000,200,5.6022
1.1460,0.0000,0.0000,0.0000,1.1460,0.0001,200,6.0351
1.2074,0.0000,0.0000,0.0000,1.2073,0.0001,200,6.0321
1.3276,0.0000,0.0000,0.0000,1.3276,0.0001,200,6.0523
1.3214,0.0000,0.0000,0.0000,1.3213,0.0001,200,6.1328
1.2966,0.0000,0.0000,0.0000,1.2965,0.0001,200,6.2292
